eventId;parentEventId;eventDate;year;month;samplingProtocol;locality;decimalLatitude;decimalLongitude;providedScientificName;scientificName;measurementRemarks;bodyLength;ashFreeDryWeight;dryWeight;eunisHabitatsTypeName
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.789;0.055;;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.895;0.066;;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.947;0.072;;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;2.158;0.1;;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;2.263;0.116;;Surface running waters
1;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;2.368;0.133;;Surface running waters
2;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;0.789;0.004;;Surface running waters
2;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;0.842;0.005;;Surface running waters
2;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;0.842;0.005;;Surface running waters
2;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.053;0.011;;Surface running waters
2;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.105;0.012;;Surface running waters
2;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.158;0.014;;Surface running waters
2;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.316;0.021;;Surface running waters
2;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.316;0.021;;Surface running waters
2;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.316;0.021;;Surface running waters
2;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.316;0.021;;Surface running waters
2;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.368;0.024;;Surface running waters
2;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.368;0.024;;Surface running waters
2;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.421;0.027;;Surface running waters
2;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.579;0.038;;Surface running waters
2;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.579;0.038;;Surface running waters
2;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.579;0.038;;Surface running waters
2;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.579;0.038;;Surface running waters
2;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.579;0.038;;Surface running waters
2;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;1.579;0.038;;Surface running waters
2;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;2;0.079;;Surface running waters
3;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;0.526;0.001;;Surface running waters
3;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;0.526;0.001;;Surface running waters
3;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;0.526;0.001;;Surface running waters
3;15;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;0.579;0.002;;Surface running waters
