eventId;parentEventId;eventDate;year;samplingProtocol;waterBody;locality;decimalLatitude;decimalLongitude;providedScientificName;scientificName;measurementRemarks;bodyLength;ashFreeDryWeight
1;3;22/09/2003;2003;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59401;18.01027;Caenis sp;Caenis;35;3.92;0.1072
1;3;22/09/2003;2003;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59401;18.01027;Caenis sp;Caenis;35;3.62;0.1131
3;3;22/09/2003;2003;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59401;18.01027;Caenis sp;Caenis;35;3.76;0.1333
1;3;22/09/2003;2003;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59401;18.01027;Caenis sp;Caenis;35;4.18;0.227
3;3;22/09/2003;2003;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59401;18.01027;Caenis sp;Caenis;35;5.68;0.3021
1;3;22/09/2003;2003;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59401;18.01027;Caenis sp;Caenis;35;4.82;0.3359
3;3;22/09/2003;2003;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59401;18.01027;Caenis sp;Caenis;35;4.8;0.3367
1;3;22/09/2003;2003;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59401;18.01027;Caenis sp;Caenis;35;6.01;0.73
1;3;22/09/2003;2003;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59401;18.01027;Caenis sp;Caenis;35;6.04;0.9131
1;2;22/09/2003;2003;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59944;18.01903;Caenis sp;Caenis;35;2.78;0.07
3;2;22/09/2003;2003;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59944;18.01903;Caenis sp;Caenis;35;2.98;0.097
1;2;22/09/2003;2003;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59944;18.01903;Caenis sp;Caenis;35;3.53;0.1173
1;2;22/09/2003;2003;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59944;18.01903;Caenis sp;Caenis;35;3.98;0.1435
1;2;22/09/2003;2003;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59944;18.01903;Caenis sp;Caenis;35;4.23;0.1738
1;2;22/09/2003;2003;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59944;18.01903;Caenis sp;Caenis;35;4.2;0.2025
3;2;22/09/2003;2003;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59944;18.01903;Caenis sp;Caenis;35;4.61;0.2177
1;2;22/09/2003;2003;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59944;18.01903;Caenis sp;Caenis;35;4.43;0.3004
2;2;22/09/2003;2003;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59944;18.01903;Caenis sp;Caenis;35;4.91;0.3063
1;2;22/09/2003;2003;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59944;18.01903;Caenis sp;Caenis;35;4.65;0.3072
1;2;22/09/2003;2003;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59944;18.01903;Caenis sp;Caenis;35;5.25;0.3494
2;2;22/09/2003;2003;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59944;18.01903;Caenis sp;Caenis;35;6.53;0.9359
1;8;03/12/2003;2003;litter bag technique (phragmites australis);fiume grande;brindisi;40.62645;17.98345;Caenis sp;Caenis;35;2.2;0.0248
1;8;03/12/2003;2003;litter bag technique (phragmites australis);fiume grande;brindisi;40.62645;17.98345;Caenis sp;Caenis;35;2.84;0.0288
1;8;03/12/2003;2003;litter bag technique (phragmites australis);fiume grande;brindisi;40.62645;17.98345;Caenis sp;Caenis;35;2.19;0.0288
2;8;03/12/2003;2003;litter bag technique (phragmites australis);fiume grande;brindisi;40.62645;17.98345;Caenis sp;Caenis;35;2.31;0.0288
1;8;03/12/2003;2003;litter bag technique (phragmites australis);fiume grande;brindisi;40.62645;17.98345;Caenis sp;Caenis;35;2.46;0.0328
1;8;03/12/2003;2003;litter bag technique (phragmites australis);fiume grande;brindisi;40.62645;17.98345;Caenis sp;Caenis;35;2.1;0.0336
1;8;03/12/2003;2003;litter bag technique (phragmites australis);fiume grande;brindisi;40.62645;17.98345;Caenis sp;Caenis;35;2.52;0.0344
1;8;03/12/2003;2003;litter bag technique (phragmites australis);fiume grande;brindisi;40.62645;17.98345;Caenis sp;Caenis;35;2.52;0.0376
1;8;03/12/2003;2003;litter bag technique (phragmites australis);fiume grande;brindisi;40.62645;17.98345;Caenis sp;Caenis;35;2.72;0.0392
